feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV2	DurationCombined	DurationCombined	1.42855789705326	0.51338435470837	50	43	0.00768689185696672	0.053808242998767
ASV3	DurationCombined	DurationCombined	-0.88050692557647	0.36392467173574	50	50	0.0193807731216371	0.0678327059257298
ASV17	DurationCombined	DurationCombined	-0.865604167024745	0.47136523727029	50	43	0.072499129613038	0.126873476822816
ASV31	DurationCombined	DurationCombined	-0.751863640362338	0.396236960507347	50	47	0.0637845122437451	0.126873476822816
