feature	ASV14	ASV54	ASV66	ASV87	ASV205	ASV568
22010-0051	13.3669609079445	10.7728337236534	36.3357953521888	0	1.51324085750315	2.28787605836786
22010-0052	20.2818741833116	3.68676498039948	35.1036027627403	0	2.88407690871757	3.72409930931491
22010-0053	11.5207977955649	3.03765909985566	55.3077024012597	3.77903162314657	1.02348773126886	1.67956961028736
22010-0054	8.33021573762315	25.9009851602444	36.0892879411398	0	1.95785010599825	0.31175957101883
22010-0055	0.514240506329114	8.33333333333333	1.18670886075949	21.9409282700422	0.540611814345992	0.540611814345992
22010-0056	0.840550178298523	9.3033622007132	4.55934793683138	20.8991339786042	1.70657157412124	4.2919001528273
22010-0057	0.352631916394178	1.89138936975059	1.37847021863179	77.9893569276143	0	0.307751490671283
22010-0058	0.108181203515889	50.1893171061528	0.655848546315078	6.56524678837052	7.39012846517918	2.89384719405003
22010-0059	8.42400448681997	13.7633202467751	58.9343802579921	0.0448681996634885	0.280426247896803	0.448681996634885
22010-0060	1.34891313686743	4.665349256809	39.8401924563966	0.189019675229831	1.08256723086176	23.6704184208265
22010-0061	0.121145374449339	38.4691629955947	0.0440528634361234	0	12.9735682819383	2.04845814977974
22010-0062	0	18.8976940101378	0	65.1031627043621	3.13414721210823	5.68287284928964
22010-0063	0	15.878480141142	0.12909333448083	0.185033779422522	5.47355738198718	9.27320452687293
22010-0064	0	32.4519419380149	0	0.549234994115339	9.0466849744998	5.68850529619459
22010-0065	0	33.1103477369975	0	9.78123305008136	16.8986922196107	5.80365214246972
22010-0066	0	39.5474736257635	0	8.88395335924486	7.67629094947252	10.2026651860078
22010-0067	44.9772506518072	32.9839987730689	0	0	6.53340831245846	6.63054036092224
22010-0068	25.0821140638997	30.2105106001792	6.11376530307554	1.52284263959391	7.07673932517169	1.9259480441923
22010-0069	0	66.018177352002	2.70203881110292	0.225988700564972	6.22942765905183	3.52738884794891
22010-0070	0.021435078505975	14.56513584481	0	0.316167407963132	1.50581426504475	0.2572209420717
22010-0071	0.312376041253471	37.79750099167	0	8.41927806426022	26.7750892502975	1.88417294724316
22010-0072	0.247041479061242	33.2549707136311	7.29170817229151	7.3116308722158	11.8420528350002	5.84133561780292
22010-0073	0	15.984077841663	0.168067226890756	1.671826625387	2.18487394957983	7.82839451570102
22010-0074	0	50.5167712890749	19.8402130492676	5.72569906790945	2.2002409485765	7.1079830067846
22010-0075	11.2216851483272	20.0928821912615	0.511799829400057	1.7912994029002	7.06094209079708	3.1466211733485
