feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV2	Duration_GNRH	Duration_GNRH	-2.15054877167695	1.01965797522547	25	18	0.0679696535214173	0.286090743964338
ASV4	Duration_GNRH	Duration_GNRH	-2.01108252506897	1.39534699684955	25	18	0.187478231918296	0.286090743964338
ASV6	Duration_GNRH	Duration_GNRH	2.367282119472	1.26928166595528	25	20	0.0991573990052312	0.286090743964338
ASV31	Duration_GNRH	Duration_GNRH	-0.970379467271443	0.678826001139146	25	25	0.190727162642892	0.286090743964338
ASV17	Duration_GNRH	Duration_GNRH	-0.710567036550866	0.922205347758875	25	25	0.463143272465477	0.555771926958572
ASV3	Duration_GNRH	Duration_GNRH	-0.103873233750893	0.568134172849134	25	25	0.859478108636681	0.859478108636681
