feature	ASV14	ASV55	ASV66	ASV87	ASV120	ASV205	ASV241	ASV443	ASV568	ASV940
22010-0051	13.1583614115978	10.6047171484306	35.7687533250576	0	0.532009221493173	1.48962582018088	2.39404149671928	0.727079269374002	2.25217237098776	0
22010-0052	20.057227247554	3.64592948126269	34.7147867823519	0	5.64888314565257	2.85213217648145	2.34447110947019	3.27672143252723	3.68285028613624	3.11980801181466
22010-0053	11.1804405959506	2.94791799312365	53.6737552527696	3.66738825926398	0.54756144148733	0.993250986883993	0	0.553928434992996	1.62995033745066	0.407487584362664
22010-0054	8.1572841616803	25.3632922212724	35.3400903651239	0	0.0732690194162901	1.91720600805959	0.354133593845402	0.158749542068629	0.305287580901209	0
22010-0055	0.496878583259014	8.05198114409479	1.14664288444388	21.2001528857179	14.511402726462	0.522359536246656	0.981016690024207	3.52911198878838	0.522359536246656	28.7425149700599
22010-0056	0.801311236568931	8.86905845929703	4.34650640441935	19.9235112001457	0.752746919201117	1.62690463182177	2.10647726582893	4.49826989619377	4.09154373823833	8.34092150792205
22010-0057	0.348101265822785	1.86708860759494	1.36075949367089	76.9873417721519	2.59493670886076	0	0.0379746835443038	0.670886075949367	0.30379746835443	1.37341772151899
22010-0058	0.10648918469218	49.4043261231282	0.645590682196339	6.46256239600665	0.212978369384359	7.27454242928452	0.725457570715474	0.525790349417637	2.84858569051581	0
22010-0059	8.25819221464702	13.4924125797229	57.7743567187156	0.0439850450846712	0.318891576863866	0.274906531779195	0.153947657796349	0	0.439850450846712	0
22010-0060	1.31589975693571	4.55116922303244	38.8651412287319	0.184393596513285	0.963875618137625	1.05607241639427	1.21532143156483	6.0849886849384	23.0911071997318	1.83555443801861
22010-0061	0.116402116402116	36.9629629629629	0.0423280423280423	0	0	12.4656084656085	4.46560846560847	2.56084656084656	1.96825396825397	1.33333333333333
22010-0062	0	18.5572069545709	0	63.9301738642737	0.0280426247896803	3.07767807066741	0.532809871003926	0.161245092540662	5.58048233314638	0
22010-0063	0	15.6045164291453	0.126865987228824	0.181841248361314	5.33260032985157	5.37911785850214	23.7958303378864	8.03484585782552	9.11320674927052	4.27538376961137
22010-0064	0	31.5436241610738	0	0.533862111043319	1.52532031726663	8.7934716290421	2.38712629652227	3.22605247101891	5.52928615009152	2.97437461866992
22010-0065	0	32.4877298799598	0	9.59730353024658	0.756903790432263	16.5809236591568	3.28188752882739	5.22145349181006	5.69451836083022	0.254272367098338
22010-0066	0	36.9807892004154	0	8.30737279335411	0.220664589823468	7.17808930425753	2.45327102803738	4.73779854620976	9.54049844236761	0.0519210799584631
22010-0067	44.4051885125927	32.5644778680664	0	0	0.0757078685711402	6.45031040226114	0.741937111997174	1.46873265028012	6.54620703578458	0.00504719123807601
22010-0068	24.5865651983024	29.613639689741	5.9929752670862	1.49275574418264	1.17078881896678	6.93692375237817	6.35152934289478	2.5391482511342	1.88789697058393	0.0146348602370847
22010-0069	0	65.1413059285472	2.66614959523002	0.222987057055601	0.150273886276601	6.14668670318484	3.52416501042222	1.84206699306801	3.48053710795482	0.334480585583402
22010-0070	0.0210293885705273	14.2894695336733	0	0.310183481415278	0.247095315703696	1.47731454707954	0.573050838546869	0.299668787130014	0.252352662846328	0.714999211397929
22010-0071	0.277679830747532	33.5992595204513	0	7.48413258110014	2.96191819464034	23.8011283497884	0	1.52503526093089	1.67489421720733	0.255641748942172
22010-0072	0.23738417949307	31.9549735814381	7.00666207213416	7.02580595757715	1.12948924113638	11.379125507313	3.22383030859943	2.63802741404395	5.61298721188453	6.89179875947623
22010-0073	0	15.6125799205115	0.164161050630724	1.63297045101089	0.993606359080698	2.13409365819941	37.2645584931744	5.89251771211336	7.6464489372732	4.2163469846207
22010-0074	0	47.496124955288	18.6538690831048	5.38333134613092	0.399427685704066	2.0686777155121	0	3.51734827709551	6.68296172648146	1.1148205556218
22010-0075	10.8201964816084	19.374000456934	0.493488690884167	1.72721041809459	0.635138222526845	6.80831619830934	1.37080191912269	1.13776559287183	3.03404158099155	4.04386566141192
