feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV3	SexOfPartner	M	-4.25561247909105	1.61232324014389	72	69	0.0102889351008698	0.123467221210438
ASV1	SexOfPartner	M	3.24755578200716	1.53103509428733	72	66	0.0375577073044589	0.225346243826754
ASV4	SexOfPartner	M+F	4.46389317958049	2.98826370498447	72	59	0.139851668060497	0.559406672241989
ASV4	SexOfPartner	F	2.12255011279373	2.28232410409676	72	59	0.355663478519899	0.727915158257303
ASV6	SexOfPartner	M	1.9343490251713	2.1164053153674	72	52	0.363957579128652	0.727915158257303
ASV6	SexOfPartner	F	2.82677742807284	2.65848549551168	72	52	0.291405748944456	0.727915158257303
ASV1	SexOfPartner	F	1.18835098385513	1.9231829374685	72	66	0.538699706379969	0.808049559569954
ASV6	SexOfPartner	M+F	2.35009492425508	3.48077457632128	72	52	0.50186074316098	0.808049559569954
ASV1	SexOfPartner	M+F	-1.17679940065116	2.51803753891341	72	66	0.641745223129974	0.855660297506631
ASV3	SexOfPartner	F	-0.545429097588027	2.02529161917874	72	69	0.788507467726856	0.860189964792934
ASV4	SexOfPartner	M	0.507651036396396	1.81694535232806	72	59	0.780787405928255	0.860189964792934
ASV3	SexOfPartner	M+F	0.384733715741958	2.65172918549893	72	69	0.885070695812938	0.885070695812938
