tax,SexuallyActive,mean,median,sd,IQR
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Alloscardovia,yes,1.4737388611669702,0.19882692116512576,3.0204417738946234,1.7392554261894493
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Alloscardovia,no,2.187822521448423,0.06406149903907751,6.33229543732619,0.31666650146264763
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium,yes,6.332007306988536,0,15.733839713591495,0.17894422904861318
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium,no,2.3496492501414084,0.09047365620010643,5.7561734730595555,0.26446988851261394
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella,yes,15.78500698933671,1.173078834874242,25.042571049799786,14.276858223296756
Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Gardnerella,no,2.5563475560496047,0.2636493463693288,4.732696409753546,1.786927576023519
Actinobacteriota|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium,yes,0.8068036567702853,0.5269357138429112,0.9335528564152327,0.8995411242863646
Actinobacteriota|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium,no,5.1016421805489225,1.2095482217238065,7.838370484006701,5.0423784415591415
Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium,yes,3.958786599144246,1.3321403718063425,7.270916599928859,4.113864121503408
Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium,no,3.4624618273173695,0.2306931780731627,10.999046995019103,1.4716998498678733
Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas,yes,3.8794149111375735,0.05571651437486071,6.982491843339381,4.5829605328561485
Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas,no,0.4817664179253453,0.14281006261671975,0.8322481091485082,0.5017988923208699
Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella,yes,17.766251639645244,11.21172919361794,18.02940823348348,30.22771322257082
Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella,no,5.296147983913054,1.5818960782159726,9.001224497179336,4.290787053937783
Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9,yes,0,0,0,0
Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9,no,0.9844251364594804,0,3.1500833251648537,0
Campylobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter,yes,1.5065915430886603,0,2.4372042165286607,2.3163336315737153
Campylobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter,no,0.274642593726166,0.12802607076350092,0.3819720628758505,0.39890696541255255
Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus,yes,23.49848680085276,6.491698976041356,33.9175785283774,36.76288573625264
Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus,no,30.60910966279121,10.264006273416399,36.176103782154556,55.695700109602406
Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus,yes,5.665005898176343,0.8114060507708357,9.555511707413375,5.899460740538403
Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus,no,12.990871785060001,1.234699308142629,22.29256977630488,14.779846355098526
Firmicutes|Bacilli|Staphylococcales|Gemellaceae|Gemella,yes,0.05977354125536901,0,0.13662091024257958,0.04672460517708626
Firmicutes|Bacilli|Staphylococcales|Gemellaceae|Gemella,no,1.8987416421533687,0.07679450693409225,4.8245976011002165,0.3374104124821785
Firmicutes|Bacilli|Staphylococcales|Staphylococcaceae|Staphylococcus,yes,0.06634514306920203,0.05925574780753733,0.07517463134275407,0.09866798223976321
Firmicutes|Bacilli|Staphylococcales|Staphylococcaceae|Staphylococcus,no,9.33790647838089,0.04704160568680744,24.53479603340413,0.22062613065331518
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Anaerococcus,yes,3.4344651749144792,2.064348149525758,5.287765492126398,2.711501508492895
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Anaerococcus,no,2.743024670041114,0.8103162847433999,4.634278015775688,2.721300887501492
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Ezakiella,yes,1.091889081147683,0.11158638646085177,1.8639656637987003,1.4724595528085802
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Ezakiella,no,0.2784089842952512,0.07689772602438756,0.5139116314335954,0.3331421217561885
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Finegoldia,yes,2.499495086865706,0.6881160498419193,3.9536898706866683,2.0320814396440903
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Finegoldia,no,3.6468783927498443,0.5847484780519064,5.72611446268127,3.5222291311565455
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Peptoniphilus,yes,2.3979819454383815,1.5622094104519249,3.0265612403102233,3.266129332313614
Firmicutes|Clostridia|Peptostreptococcales-Tissierellales|Family XI|Peptoniphilus,no,1.4956778818005725,0.6085842408712363,2.0841618173793846,1.350769814919212
Firmicutes|Negativicutes|Veillonellales-Selenomonadales|Veillonellaceae|Dialister,yes,1.9937247023970113,0.07187005893344833,3.0556614321296167,4.12657934392025
