feature	ASV1	ASV4
22010-0026	3.98422909317286	0.0415023863872173
22010-0027	3.37349397590361	19.1004016064257
22010-0028	92.6700665571787	1.65096378252226
22010-0029	49.4607843137255	13.4967320261438
22010-0030	63.8483965014577	35.0414891231218
22010-0031	78.7101787101787	6.94984028317362
22010-0032	93.5308681415222	1.70912866384474
22010-0033	90.3566599053414	0.050709939148073
22010-0034	82.8513559131315	13.7616743558006
22010-0035	97.370159111378	0.816571600120084
22010-0036	99.355185384202	0
22010-0037	96.7476906049125	1.01315397386233
22010-0038	97.269768332376	1.03388856978748
22010-0039	81.9874407844001	0.132202269472293
22010-0040	86.2084765177549	0.756013745704467
22010-0041	97.2305606662148	0.392175849714341
22010-0042	88.9912793311157	0.364110401869999
22010-0043	36.8170252139718	0.703215359703909
22010-0044	92.8312053414548	0.281129202295888
22010-0045	99.0500797932974	0.227980849608633
22010-0046	85.9215079891024	0.456520138428687
22010-0047	3.61289124175722	52.6980588836259
22010-0048	7.16666666666667	72.9462365591398
22010-0049	52.9759669545625	9.15321066466392
22010-0050	97.1451743714518	0.267639902676399
