feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV54	SexuallyActive	no	2.31295682386154	0.985683536072336	72	68	0.0217837332274408	0.063898289816948
ASV87	SexuallyActive	no	2.51598257065374	1.14947972485071	72	53	0.031949144908474	0.063898289816948
ASV66	SexuallyActive	no	-1.32061181631861	1.04141683158923	72	57	0.20896680113814	0.27862240151752
ASV1	SexuallyActive	no	-0.925203115797357	0.949192175579283	72	63	0.333052206611053	0.333052206611053
