feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV16	DurationMenopause	DurationMenopause	0.259669920100808	0.688258960615852	25	24	0.709420583553726	0.882630405127528
ASV82	DurationMenopause	DurationMenopause	0.567639225851995	0.679804717094544	25	24	0.412305711792264	0.882630405127528
ASV120	DurationMenopause	DurationMenopause	-0.202686001871684	0.619167136340697	25	25	0.746362034174666	0.882630405127528
ASV271	DurationMenopause	DurationMenopause	0.0891387156076327	0.59710619115593	25	25	0.882630405127528	0.882630405127528
