ASV;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Kingdom;Phylum;Class;Order;Family;Genus
ASV75;3,93093641286582;-5,09199401986851;1,888137985930030;-2,69683363070543;7,00022345056757e-03;1,72563647851201e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV78;11,48820462053495;-6,61254186609095;1,847223769558725;-3,57971891389780;3,43963994851005e-04;1,35037716497061e-03;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV79;56,69547866612739;7,95536580904015;1,626731871217191;4,89039770462455;1,00632446038787e-06;1,06670392801115e-05;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV80;28,40221681168297;8,72604328307343;2,963006796800866;2,94499604000061;3,22958796335752e-03;9,25233308421343e-03;Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma
ASV90;8,42483320558530;-5,32778645763914;2,011371210007914;-2,64883301059985;8,07702303816197e-03;1,90258764898926e-02;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
ASV91;14,05842897970980;-23,13144900386262;2,140696203378097;-10,80557295676068;3,23928363390256e-27;8,58410162984179e-26;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
ASV97;6,23377214296742;-4,08066671389291;1,749388948553702;-2,33262403839156;1,96678861595856e-02;3,93357723191711e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV98;7,37478219058911;-6,02579518802153;2,030596095542737;-2,96750062764745;3,00231669598846e-03;8,84015471596603e-03;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella
ASV100;20,12621341519281;6,91843387632061;2,032491563188159;3,40391763568670;6,64267800274905e-04;2,34707956097133e-03;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia
ASV101;8,76028436219773;-5,94695831836776;1,790297554685015;-3,32177089937101;8,94481052265707e-04;2,96296848563015e-03;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
ASV102;14,22314254780988;-24,61088024836802;2,184858818229276;-11,26428858607622;1,96935998865654e-29;6,95840529325310e-28;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV103;9,38860953388077;-5,04846640371177;1,107823311212844;-4,55710432576538;5,18636671594194e-06;4,99777156263496e-05;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
ASV106;11,38635317963275;-5,07742344760749;1,795968474184878;-2,82712281456496;4,69683106121213e-03;1,18539069640116e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV113;38,90287307754421;7,10036113005753;1,758375393490526;4,03802348255267;5,39034582597571e-05;3,28795100727402e-04;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella
ASV119;22,51405448797090;6,38424064020881;1,676159707586350;3,80884984367155;1,39614706233971e-04;6,74207351493111e-04;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002
ASV123;6,85540955064265;-5,49103848388776;1,449046533404808;-3,78941487198864;1,51002546044157e-04;6,95924777420897e-04;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium
ASV131;8,74735370399690;-5,30932473354021;1,847738817800588;-2,87341732629725;4,06057339071277e-03;1,07605194853888e-02;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
ASV137;5,44767745762462;-5,11056117227646;2,267670619461277;-2,25366114832434;2,42174932934511e-02;4,50360401597512e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV151;4,10911499730845;-4,04011587853518;1,308875662299451;-3,08670716012661;2,02386869020183e-03;6,12943089032555e-03;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella
ASV168;3,33353340037957;-4,80190178379028;1,918620383244849;-2,50278889233372;1,23219017354626e-02;2,66555425297763e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV182;4,53338878849802;-4,83487206601633;1,852952051172993;-2,60928072205412;9,07327756485653e-03;2,04631366356339e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
