feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV11	ASV14	ASV16	ASV79
22010-0026	0	0.0622535795808259	0	0	2.57314795600747	0	0	0	0
22010-0027	0	3.37349397590361	0	1.42971887550201	0	2.42570281124498	1.38152610441767	0	0
22010-0028	88.9878122568934	0.535914945111937	0	0.63099662892212	0	0.0777941049356038	0	0.665571786671277	0.62235283948483
22010-0029	16.3398692810458	30.5392156862745	0	13.3169934640523	0	25.6372549019608	0.179738562091503	0.408496732026144	0.179738562091503
22010-0030	4.23861852433281	58.9145548329222	3.49854227405248	3.2967032967033	0	0	8.12962547656425	0	0
22010-0031	13.1485798152465	0.638867305533972	0	1.3986013986014	0.224466891133558	0.630233963567297	0.181300181300181	44.5394112060779	3.35837002503669
22010-0032	81.7027393978117	0.103825573037297	0	0.255570641322578	0	0.151745068285281	0	5.50275537097676	3.4741634054788
22010-0033	90.1622718052738	0	0	0	0	0.0253549695740365	0	0	0
22010-0034	55.1479689434005	0	4.78226623157421	0.562619556655789	27.6246202317993	0	0.0337571733993474	0	0
22010-0035	0.270189132392675	83.734614229961	0	0	0	0.0480336235364755	0	0	0
22010-0036	0	62.6477700161204	0	0	0	0	0	34.4572810317034	0
22010-0037	93.2271933932144	3.4353582222979	0	0.153250180920352	0.080882039930186	0.110680686220255	0	0	0
22010-0038	94.979896611143	0.333141872487076	0	0.222094581658051	0	0.145510243155275	0	1.09132682366456	0.444189163316102
22010-0039	0.132202269472293	61.286768756197	0	0	0.0550842789467886	0	0	0	0
22010-0040	0.126002290950745	0.0458190148911798	0	0.194730813287514	68.7857961053837	0.0458190148911798	0.0343642611683849	0	0
22010-0041	0.246925535005326	82.3956618572674	0	0.0968335431393435	0.159775346179917	0	0	0	0
22010-0042	67.8908567832419	0.498966106266295	0	0	0.260721028499506	0.0584374719050616	0	1.38451856513531	0.525937247145554
22010-0043	1.00855887115429	2.10501966227157	0	0.157298172565348	11.9500346981263	0.157298172565348	0	0	0
22010-0044	64.4488696263324	13.9744640974581	0	0	0.0937097340986295	0.0234274335246574	0	3.88895396509312	1.9210495490219
22010-0045	98.8752944752641	0.106391063150695	0	0	0	0	0	0	0
22010-0046	66.6224872984316	2.90111184743391	0	0	0.684780207643031	0.0662690523525514	0	2.59921949782785	0.920403504896547
22010-0047	0	0	22.2624686542212	5.46113123432711	0.510820098448964	15.491780440234	23.943531160026	0	0
22010-0048	2.95161290322581	0	35.0806451612903	9.62365591397849	2.41397849462366	7.59677419354839	28.1720430107527	0	0.0268817204301075
22010-0049	44.6207285016898	0	7.99849793466016	0.2628614344724	0.347352609838528	0.0563274502440856	0.797972211791213	3.70822380773564	2.1686068343973
22010-0050	78.3292781832928	0.137875101378751	0	0	0	0.032441200324412	0.267639902676399	9.05109489051095	4.97972424979724
